term,definition
基础模型,"一种非常大的 预训练模型 ，使用庞大而多样的 训练集 进行训练。基础模型可以执行以下两项操作：

能够很好地响应各种请求。 用作其他 微调 或其他自定义的基础模型。

换句话说，基础模型在一般意义上已经非常强大，但可以进一步自定义，以便在特定任务中发挥更大作用。"
成功次数所占的比例,"用于评估机器学习模型 生成的文本 的指标。
成功率是指“成功”生成的文本输出数量除以生成的文本输出总数。例如，如果 大型语言模型 生成了 10 个代码块，其中 5 个成功，则成功率将为 50%。

虽然成功次数所占的比例在整个统计学中都非常有用，但在机器学习中，此指标主要用于衡量可验证的任务，例如代码生成或数学问题。"
完整 softmax,"与 softmax 的含义相同。

与 候选采样 相对。

如需了解详情，请参阅机器学习速成课程中的 神经网络：多类别分类 。"
全连接层,"一种 隐藏层 ，其中每个 节点 都与后续隐藏层中的 每个 节点相连。

全连接层又称为 密集层 。"
函数转换,一种以函数为输入并返回转换后的函数作为输出的函数。 JAX 使用函数转换。
GAN,生成对抗网络 的缩写。
Gemini,"由 Google 最先进的 AI 组成的生态系统。此生态系统的要素包括：

各种 Gemini 模型 。 与 Gemini 模型进行交互的对话式界面。
用户输入提示，Gemini 会针对这些提示给出回答。 各种 Gemini API。 基于 Gemini 模型的各种商业产品；例如 Gemini for Google Cloud 。"
Gemini 模型,"Google 基于先进的 Transformer 的 多模态模型 。Gemini 模型专为与 智能体 集成而设计。

用户可以通过多种方式与 Gemini 模型互动，包括通过交互式对话界面和 SDK。"
Gemma,一系列轻量级开放模型，采用与 Gemini 模型相同的研究成果和技术构建而成。有多种不同的 Gemma 模型可供选择，每种模型都提供不同的功能，例如视觉、代码和指令遵循。如需了解详情，请参阅 Gemma 。
GenAI 或 genAI,生成式 AI 的缩写。
泛化,"模型 针对以前未见过的新数据做出正确预测的能力。能够泛化的模型与 过拟合 模型正好相反。

如需了解详情，请参阅机器学习速成课程中的 泛化 。"
泛化曲线,"以 迭代次数 为自变量的 训练损失 和 验证损失 的曲线图。

泛化曲线可以帮助您检测可能出现的 过拟合 。例如，以下泛化曲线表明出现过拟合，因为验证损失最终明显高于训练损失。

如需了解详情，请参阅机器学习速成课程中的 泛化 。"
广义线性模型,"一种基于其他类型噪声（例如 Poisson 噪声 或类别噪声）的其他类型模型的泛化，基于 Gaussian 噪声 的 最小二乘回归 模型。广义线性模型的示例包括：

逻辑回归 多类别回归 最小二乘回归

可以通过 凸优化 找到广义线性模型的参数。

广义线性模型具有以下特性：

最优的最小二乘回归模型的平均预测结果等于训练数据的平均标签。 最优的逻辑回归模型预测的平均概率等于训练数据的平均标签。

广义线性模型的能力受其特征的限制。与深度模型不同，广义线性模型无法“学习新特征”。"
生成的文本,"一般来说，指机器学习模型输出的文本。在评估大型语言模型时，某些指标会将生成的文本与 参考文本 进行比较。例如，假设您要确定某个机器学习模型从法语翻译为荷兰语的有效性。在此示例中：

生成的文本 是机器学习模型输出的荷兰语翻译。 参考文本 是人工翻译人员（或软件）创建的荷兰语译文。

请注意，某些评估策略不涉及参考文本。"
生成对抗网络 (GAN),"一种用于创建新数据的系统，其中 生成器 负责创建数据，而 判别器 负责确定创建的数据是否有效。

如需了解详情，请参阅 生成对抗网络课程 。"
生成式 AI,"一个新兴的变革性领域，没有正式定义。
不过，大多数专家都认为，生成式 AI 模型可以创建（“生成”）以下类型的内容：

复杂 连贯 原图

生成式 AI 的示例包括：

大语言模型 ，可生成复杂的原创文本并回答问题。 图片生成模型，可生成独一无二的图片。 音频和音乐生成模型，可以创作原创音乐或生成逼真的语音。 视频生成模型，可生成原创视频。

一些较早的技术（包括 LSTM 和 RNN ）也可以生成原创且连贯的内容。一些专家认为这些早期技术属于生成式 AI，而另一些专家则认为，真正的生成式 AI 需要生成比这些早期技术更复杂的输出。

与 预测性机器学习 相对。"
生成模型,"实际上是指执行以下任一操作的模型：

从训练数据集创建（生成）新样本。
例如，用诗歌数据集进行训练后，生成模型可以创作诗歌。 生成对抗网络 的 生成器 部分属于此类别。 确定新样本来自训练集或通过创建训练集的机制创建的概率。例如，用包含英文句子的数据集进行训练后，生成模型可确定新输入是有效英文句子的概率。

从理论上讲，生成模型可以辨别数据集中样本或特定特征的分布情况。具体来说：

非监督式学习模型属于生成模型。

与 判别模型 相对。"
生成器,"生成对抗网络 中用于创建新 示例 的子系统。

与 判别模型 相对。"
Gini 不纯度,"与 entropy 类似的指标。 拆分器 使用从 Gini 不纯度或熵派生的值来为分类 决策树 组成 条件 。 信息增益 源自熵。没有普遍接受的与源自 Gini 不纯度的指标等效的术语；不过，此未命名的指标与信息增益同样重要。

Gini 不纯度也称为 Gini 指数 ，或简称为 Gini 。"
黄金数据集,"一组人工整理的数据，用于捕获 标准答案 。团队可以使用一个或多个黄金数据集来评估模型的质量。

有些黄金数据集捕获了不同子领域的标准答案。例如，用于图片分类的黄金数据集可能会捕获光照条件和图片分辨率。"
标准回答,"已知为良好的 响应 。例如，假设有以下 提示 ：

黄金响应应为："
Google AI Studio,"Google 提供的一款工具，可提供简单易用的界面，用于测试和构建使用 Google 大语言模型 的应用。
如需了解详情，请参阅 Google AI Studio 首页 。"
GPT（生成式预训练转换器）,"由 OpenAI 开发的一系列基于 Transformer 的 大语言模型 。

GPT 变体可应用于多种 模态 ，包括：

图片生成（例如 ImageGPT） 文本到图像生成（例如 DALL-E ）。"
渐变色,相对于所有自变量的 偏导数 向量。在机器学习中，梯度是模型函数偏导数的向量。梯度指向最高速上升的方向。
梯度累积,"一种 反向传播 技术，它仅 在每个周期更新一次 参数 ，而不是在每次迭代时更新。在处理每个 mini-batch 后，梯度累积只会更新梯度运行总和。然后，在处理完周期中的最后一个小批次后，系统最终会根据所有梯度变化的总和来更新参数。

当 批次大小 与可用于训练的内存量相比非常大时，梯度累积非常有用。当内存成为问题时，人们自然会倾向于减小批次大小。不过，在常规反向传播中，减小批次大小会 增加 参数更新次数。梯度累积使模型能够避免内存问题，同时仍能高效训练。"
梯度提升（决策）树 (GBT),"一种 决策森林 ，其中：

训练 依赖于 梯度提升 。 弱模型是 决策树 。

如需了解详情，请参阅决策森林课程中的 梯度提升决策树 。"
梯度提升,"一种训练算法，其中训练弱模型以迭代方式提高强模型的质量（减少损失）。例如，弱模型可以是线性模型或小型决策树模型。强模型成为之前训练的所有弱模型的总和。

在最简单的梯度提升形式中，每次迭代都会训练一个弱模型来预测强模型的损失梯度。然后，通过减去预测的梯度来更新强模型的输出，类似于 梯度下降 。

其中：

$F_{0}$ 是初始强模型。 $F_{i+1}$ 是下一个强模型。 $F_{i}$ 是当前的强模型。 $\xi$ 是一个介于 0.0 和 1.0 之间的值，称为 收缩率 ，类似于梯度下降中的 学习率 。 $f_{i}$ 是经过训练用于预测 $F_{i}$ 的损失梯度的弱模型。

梯度提升的现代变体还在计算中纳入了损失的二阶导数（Hessian）。

决策树 通常用作梯度提升中的弱模型。请参阅 梯度提升（决策）树 。"
